Symbol,Date,Open,High,Low,Adj Close,Volume
AAPL,29/09/2016,113.160004,113.800003,111.800003,110.235504,35887000
AAPL,28/09/2016,113.690002,114.639999,113.43,111.974823,29641100
AAPL,27/09/2016,113.0,113.18,112.339996,111.129723,24607400
AAPL,26/09/2016,111.639999,113.389999,111.550003,110.923363,29869400
AAPL,23/09/2016,114.41999799999999,114.790001,111.550003,110.756317,52481200
AAPL,22/09/2016,114.349998,114.940002,114.0,112.63321699999999,31074000
AAPL,21/09/2016,113.849998,113.989998,112.440002,111.58175700000001,36003200
AAPL,20/09/2016,113.050003,114.120003,112.510002,111.60141000000002,34514300
AAPL,19/09/2016,115.190002,116.18,113.25,111.61123700000002,47023000
AAPL,16/09/2016,115.120003,116.129997,114.040001,112.928009,79886900
AAPL,15/09/2016,113.860001,115.730003,113.489998,113.56674199999999,89983600
AAPL,14/09/2016,108.730003,113.029999,108.599998,109.832603,110888700
AAPL,13/09/2016,107.510002,108.790001,107.239998,106.078827,62176200
AAPL,12/09/2016,102.650002,105.720001,102.529999,103.612335,45292800
AAPL,09/09/2016,104.639999,105.720001,103.129997,101.34236899999999,46557000
AAPL,08/09/2016,107.25,107.269997,105.239998,103.690956,53002000
AAPL,07/09/2016,107.83000200000001,108.760002,107.07,106.48172,42364300
AAPL,06/09/2016,107.900002,108.300003,107.510002,105.833153,26880400
AAPL,02/09/2016,107.699997,108.0,106.82,105.862648,26802500
AAPL,01/09/2016,106.139999,106.800003,105.620003,104.87998200000001,26701500
AAPL,31/08/2016,105.660004,106.57,105.639999,104.260887,29662400
AAPL,30/08/2016,105.800003,106.5,105.5,104.162621,24863900
AAPL,29/08/2016,106.620003,107.440002,106.290001,104.968414,24970300
AAPL,26/08/2016,107.410004,107.949997,106.309998,105.08633400000001,27766300
AAPL,25/08/2016,107.389999,107.879997,106.68,105.70541399999999,25086200
AAPL,24/08/2016,108.57,108.75,107.68,106.15744,23675100
AAPL,23/08/2016,108.589996,109.32,108.529999,106.963219,21257700
AAPL,22/08/2016,108.860001,109.099998,107.849998,106.62912,25820200
AAPL,19/08/2016,108.769997,109.690002,108.360001,107.464386,25368100
AAPL,18/08/2016,109.230003,109.599998,109.019997,107.189247,21984700
